ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11555271,JC102958,1/2/2019 23:59,132XX S CORLISS AVE,810,THEFT,OVER $500,CHA APARTMENT,FALSE,FALSE,533,5,9,54,6,1184020,1817755,2019,1/10/2019 15:16,41.65509195,-87.60231546,"(41.655091947, -87.602315455)"
11555282,JC103200,1/3/2019 5:00,028XX S DR MARTIN LUTHER KING JR DR,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,133,1,4,35,6,1179273,1886196,2019,1/10/2019 15:16,41.84301106,-87.61760167,"(41.843011059, -87.617601672)"
11555284,JC103117,1/3/2019 12:59,011XX W CULLERTON ST,325,ROBBERY,VEHICULAR HIJACKING,STREET,FALSE,FALSE,1235,12,25,31,3,1168981,1890560,2019,1/10/2019 15:16,41.85521541,-87.65524409,"(41.85521541, -87.655244087)"
11555290,JC103120,1/3/2019 13:29,030XX W VAN BUREN ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,FALSE,FALSE,1124,11,28,27,7,1156409,1898012,2019,1/10/2019 15:16,41.87592766,-87.70118772,"(41.875927657, -87.701187715)"
11555296,JC103049,1/3/2019 11:20,030XX N HARLEM AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,2511,25,29,18,5,1127557,1919342,2019,1/10/2019 15:16,41.93499437,-87.80664292,"(41.934994367, -87.80664292)"
11555298,JC103227,1/3/2019 10:00,025XX N ELSTON AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,AUTO / BOAT / RV DEALERSHIP,FALSE,FALSE,1432,14,32,22,7,1161918,1916702,2019,1/10/2019 15:16,41.92710134,-87.68043836,"(41.927101339, -87.680438363)"
11555302,JC101835,1/2/2019 2:00,051XX W OAKDALE AVE,320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,FALSE,FALSE,2521,25,31,19,3,1141691,1919130,2019,1/10/2019 15:16,41.9341626,-87.7547045,"(41.934162595, -87.754704504)"
11555311,JC103250,1/3/2019 9:00,022XX N MAPLEWOOD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1431,14,1,22,7,1158936,1915099,2019,1/10/2019 15:16,41.92276438,-87.69144005,"(41.922764377, -87.69144005)"
11555312,JC103212,1/3/2019 14:30,066XX S CARPENTER ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,724,7,6,68,6,1170456,1860783,2019,1/10/2019 15:16,41.77347219,-87.65069841,"(41.773472194, -87.650698413)"
11555313,JC103252,1/3/2019 15:10,086XX S COTTAGE GROVE AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,632,6,8,44,6,1183074,1847795,2019,1/10/2019 15:16,41.73754763,-87.60484722,"(41.737547633, -87.604847215)"
11555314,JC103147,1/3/2019 14:00,0000X S WABASH AVE,870,THEFT,POCKET-PICKING,RESTAURANT,FALSE,FALSE,112,1,42,32,6,1176815,1900232,2019,1/10/2019 15:16,41.88158261,-87.62619758,"(41.881582612, -87.626197575)"
11555315,JC103171,1/3/2019 12:15,010XX N STATE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1824,18,2,8,6,1176182,1907168,2019,1/10/2019 15:16,41.90062965,-87.62831264,"(41.900629649, -87.628312638)"
11555319,JC103216,1/3/2019 13:30,099XX S HALSTED ST,810,THEFT,OVER $500,ALLEY,FALSE,FALSE,2232,22,34,73,6,1172736,1838964,2019,1/10/2019 15:16,41.71354802,-87.64298214,"(41.713548023, -87.642982136)"
