Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2.008E+13,12/9/2008,1100,12/9/2008,1236,CAR PROWL,THEFT-CARPROWL,NORTH,L,L2,NORTHGATE
2.008E+13,12/9/2008,1107,12/9/2008,1130,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,E,E3,FIRST HILL
2.008E+13,12/9/2008,1130,12/9/2008,1130,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L3,LAKECITY
2.008E+13,12/9/2008,1200,12/10/2008,1235,CAR PROWL,THEFT-AUTOACC,EAST,C,C1,CAPITOL HILL
2.008E+13,12/9/2008,1200,12/9/2008,1529,CAR PROWL,THEFT-CARPROWL,NORTH,U,U1,ROOSEVELT/RAVENNA
2.008E+13,12/9/2008,1200,12/9/2008,1633,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R1,NORTH BEACON HILL
2.008E+13,12/9/2008,1200,12/15/2008,1350,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R3,HILLMAN CITY
2.008E+13,12/9/2008,1200,12/9/2008,1821,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,L,L1,NORTHGATE
2.008E+13,12/9/2008,1200,12/10/2008,1154,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,U,U2,UNIVERSITY
2.009E+12,12/9/2008,1200,1/9/2009,947,MOTOR VEHICLE THEFT,VEH-THEFT-TRAILER,NORTH,B,B1,BALLARD SOUTH
2.008E+13,12/9/2008,1220,12/9/2008,1844,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,J,J3,ROOSEVELT/RAVENNA
2.008E+13,12/9/2008,1230,12/10/2008,817,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D2,SLU/CASCADE
2.008E+13,12/9/2008,1230,12/9/2008,1724,CAR PROWL,THEFT-CARPROWL,NORTH,L,L2,NORTHGATE
2.008E+13,12/9/2008,1300,12/12/2008,837,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R3,HILLMAN CITY
2.008E+13,12/9/2008,1300,12/12/2008,1611,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N3,NORTHGATE
2.008E+13,12/9/2008,1300,12/9/2008,1353,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,EAST,G,G3,MADRONA/LESCHI
2.008E+13,12/9/2008,1313,12/10/2008,1434,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,W,W1,NORTH ADMIRAL
2.008E+13,12/9/2008,1400,12/11/2008,2021,CAR PROWL,THEFT-CARPROWL,NORTH,L,L2,NORTHGATE
2.008E+13,12/9/2008,1400,12/13/2008,1814,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,D,D1,BELLTOWN
2.008E+13,12/9/2008,1429,12/9/2008,1429,CAR PROWL,THEFT-CARPROWL,WEST,D,D1,BELLTOWN
2.008E+13,12/9/2008,1430,12/9/2008,2330,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,R,R3,HILLMAN CITY
2.008E+13,12/9/2008,1458,12/9/2008,1458,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.008E+13,12/9/2008,1500,12/10/2008,903,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QUEEN ANNE
