Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
20180000365922,09/29/2018,1700,09/30/2018,1219,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O2,SODO
20180000365675,09/29/2018,1700,09/30/2018,648,THEFT-BICYCLE,THEFT-BICYCLE,WEST,Q,Q1,MAGNOLIA
20180000364990,09/29/2018,1702,09/29/2018,1814,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J1,GREENWOOD
20180000366348,09/29/2018,1800,09/30/2018,2058,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,G,G1,FIRST HILL
20180000368971,09/29/2018,1800,10/02/2018,1551,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,N,N2,NORTHGATE
20180000367204,09/29/2018,1800,10/01/2018,1222,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,SOUTH,O,O1,SODO
20180000365846,09/29/2018,1800,09/30/2018,1055,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,G,G3,MADRONA/LESCHI
20180000911839,09/29/2018,1850,12/11/2018,1855,THEFT-BICYCLE,THEFT-BICYCLE,SOUTH,R,R2,CLAREMONT/RAINIER VISTA
20180000365720,09/29/2018,1900,09/30/2018,757,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,SOUTH,O,O3,GEORGETOWN
20180000366124,09/29/2018,1900,09/30/2018,1522,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,E,E2,CAPITOL HILL
20180000366175,09/29/2018,1930,09/30/2018,1719,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,W,W2,MORGAN
20180000365223,09/29/2018,2000,09/30/2018,13,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,U,U1,UNIVERSITY
20180000366929,09/29/2018,2000,10/01/2018,1138,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U3,UNIVERSITY
20180000370290,09/29/2018,2000,10/03/2018,1504,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,C,C1,CAPITOL HILL
20180000366338,09/29/2018,2030,09/30/2018,1840,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R1,NORTH BEACON HILL
20180000365228,09/29/2018,2033,09/29/2018,2033,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,C,C1,CAPITOL HILL
20180000365743,09/29/2018,2100,09/30/2018,837,THEFT-ALL OTHER,THEFT-OTH,UNKNOWN,,,UNKNOWN
20180000374380,09/29/2018,2100,10/06/2018,1527,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,E,E3,FIRST HILL
20180000365273,09/29/2018,2130,09/29/2018,2245,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS
20180000365973,09/29/2018,2130,09/30/2018,1253,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,SOUTH,S,S2,BRIGHTON/DUNLAP
